fc_prime,arm,eccentricity,fpe,area,Axial,Moment,Shear,Pass1,Pass2,Pass3,ComRatio
30,350,0.8,1200,1750,1792.11,818.46,152.300779,18.714539,3.66323,0.390492,0.508014
40,200,1,50,250,1055.73,11.18,31.643994,0.405883,0.060164,0.074214,0.027644
40,325,0.8,200,250,2730.55,41.39,57.41927,0.447645,0.075849,0.056586,0.024764
60,225,0.8,400,2000,2092.58,192.49,117.771078,12.242261,1.687635,0.152917,0.270134
60,325,0.4,500,1750,4108.83,242.22,160.182438,1.708319,0.522776,0.243933,0.140739
50,400,1,50,750,5333.73,87.03,111.360519,0.270122,0.036192,0.061406,0.020929
70,350,0.8,500,750,5494.58,211.35,121.567275,2.187645,0.28034,0.091824,0.052322
30,300,0.8,800,250,1678.73,94.69,54.591125,2.42948,0.474883,0.149636,0.077894
70,225,0.1,1000,500,2094.67,75.42,76.728633,-2.058138,0.25958,0.375013,0.138875
70,400,0.6,200,1250,7426.93,156.34,156.715072,0.7072,0.113715,0.063996,0.03608
40,375,1,1200,1250,3199.75,805.63,179.295956,13.764648,2.059741,0.18047,0.234412
40,350,0.1,500,500,3143.48,66.11,87.14355,-0.543642,0.092556,0.145718,0.059182
50,400,0.4,100,1750,5574.23,107.02,153.340072,0.24795,0.082681,0.080473,0.042157
60,275,0.6,200,1250,3111.14,84.56,99.86546,1.617913,0.281049,0.107247,0.073487
28,350,0.2,500,1250,2247.23,137,119.582127,-0.56847,0.450243,0.37012,0.182424
60,375,0.8,1200,1250,4994.63,717.9,195.474424,8.228,1.139569,0.203333,0.157069
60,400,0.2,0,1750,6689.08,56.04,154.579705,-0.00015,-1.20E-05,0.041499,0.022083
60,325,0.1,1000,250,3965.83,66.8,74.403049,-0.517246,0.071706,0.120438,0.041988
70,375,0.2,800,250,6256.07,84.51,87.78595,-0.09942,0.050139,0.070126,0.025287
60,350,0.4,150,1000,4910.21,74.66,116.20744,0.252802,0.077217,0.069145,0.036263
40,200,0.6,1000,500,880.23,106.04,59.201068,7.477218,1.594397,0.464919,0.295346
30,200,0.2,50,1250,1095.67,16.4,51.101215,-0.187255,0.130117,0.211697,0.117669
40,300,0.8,200,2000,2688.98,153.15,118.359051,4.208223,0.712347,0.128463,0.135453
30,375,0.4,100,250,2757.32,26.19,60.525466,0.051785,0.022389,0.043189,0.019875
40,300,0.6,100,1500,2662.98,70.29,97.932249,0.998909,0.212485,0.120394,0.070225
70,400,1,50,2000,7738.93,168.66,174.636981,0.609017,0.068954,0.076704,0.02917
50,300,0.1,200,1500,3153.22,60.63,111.7231,-0.802351,0.12147,0.175769,0.086107
30,275,0.6,1200,500,1269.57,172.91,78.822635,5.491808,1.349081,0.376748,0.23807
40,275,1,800,2000,1692.76,568.29,129.245753,27.413876,4.083619,0.152428,0.488503
70,325,1,1000,1250,4427.46,637.89,169.934151,11.565903,1.305696,0.182063,0.160593
40,400,0.2,50,750,4309.89,39.06,103.498912,-0.021656,0.01443,0.044806,0.0231
28,375,0.1,100,250,2577.83,17.65,59.174984,-0.056581,0.011474,0.038485,0.020511
50,400,0.8,500,1250,5184.23,340.98,158.156742,3.298387,0.500724,0.108588,0.084121
30,250,0.2,500,1750,1262.42,107.07,94.152837,-1.592895,1.160481,0.777525,0.453332
60,275,0.6,800,1250,2721.14,299.16,133.61546,6.472298,1.124245,0.339168,0.210645
28,225,0.4,50,1000,1165.47,20,52.591404,0.293718,0.133911,0.157537,0.082913
30,375,0.6,0,250,2770.32,23.69,59.400466,-0.000225,-2.50E-05,0.042647,0.015179
30,300,0.2,200,2000,2120.73,79.43,109.182249,-0.489549,0.367065,0.317795,0.176983
50,275,0.8,500,250,2388.95,61.59,54.391967,1.400717,0.211914,0.087266,0.042852
60,225,0.2,1200,1000,1572.58,163.78,103.275504,-1.949444,0.984654,0.795282,0.360152
30,400,0.4,1200,1500,2603.54,577.43,179.087639,3.294443,1.417601,0.604423,0.331695
70,300,0.6,400,2000,4185.71,243.37,156.939795,4.028018,0.647629,0.167801,0.134522
70,300,0.2,50,750,4192.21,29.19,88.900184,-0.030212,0.014736,0.045691,0.023489
60,275,0.1,400,500,2903.14,41.96,74.292429,-0.585014,0.080522,0.127872,0.054516
60,300,0.2,50,2000,3981.47,49.37,119.382435,-0.086689,0.045872,0.091853,0.048257
50,225,0.1,800,500,1518.48,58.09,66.475167,-1.948235,0.290725,0.408657,0.155347
70,250,0.1,100,1000,2993.32,26.78,81.875549,-0.330384,0.041881,0.08681,0.044121
70,400,0.6,1200,1250,6776.93,661.56,212.965072,4.243893,0.682341,0.208485,0.117774
40,325,0.6,0,1250,3068.55,38.18,94.338125,-0.000225,-2.10E-05,0.079417,0.028869
40,325,0.8,1200,1500,2210.55,686.82,154.789832,16.123074,2.731296,0.366161,0.380194
50,250,0.2,1000,500,1848.37,94.22,77.39731,-0.705168,0.39787,0.388099,0.154432
30,225,0.4,100,2000,1462.29,47.63,73.901748,1.136142,0.500052,0.315142,0.200224
60,250,0.6,500,1250,2407.84,157.49,107.300622,4.893424,0.850352,0.21949,0.169379
60,375,0.8,150,1250,5677.13,135.64,136.411924,1.028361,0.142435,0.066725,0.038433
30,200,0.1,400,500,790.17,21.59,44.579429,-1.611215,0.30801,0.382508,0.17816
60,350,0.8,800,1500,4520.21,566.38,179.297491,7.561739,1.046632,0.220947,0.157439
28,400,0.1,150,500,2983.77,32.25,82.345591,-0.14826,0.030251,0.06284,0.031788
28,250,0.8,1000,1250,833.33,328,83.675334,22.667874,4.578476,0.369364,0.647899
30,325,0.2,100,1000,2268.91,35.83,84.067856,-0.103211,0.078054,0.107204,0.055842
28,225,0.4,800,500,827.47,76.38,57.863751,2.352418,1.071583,0.504725,0.270134
28,225,0.4,150,1500,1230.47,45.92,67.751522,1.323068,0.602747,0.310626,0.207838
28,400,0.6,400,500,2918.77,103.98,87.970591,0.894501,0.227426,0.094533,0.054399
60,300,0.6,500,750,3448.47,135.34,99.719571,2.039311,0.354164,0.129319,0.076583
40,375,0.6,1200,750,3355.75,367.98,134.792361,3.833776,0.815372,0.244062,0.140886
50,325,0.1,1000,250,3296.19,65.9,70.679295,-0.566615,0.086047,0.143028,0.050241
60,350,0.8,150,1000,4910.21,104.31,116.20744,0.945068,0.130817,0.064767,0.036263
